generator,n_all,marginal_ra_mean,marginal_ra_median,marginal_qed_mean,marginal_qed_median,n_top5pct,conditional_ra_mean,conditional_ra_median,conditional_qed_mean,conditional_qed_median,ra_gap_marginal_minus_conditional
DiffSBDD,27756,0.6997228072818604,0.8737033903598785,0.5432350493857706,0.5508053086077116,1076,0.3418442341374609,0.1759186312556266,0.44924569594964536,0.44641187581903463,0.697784759104252
PocketXMol,29871,0.7123694654533976,0.8795797228813171,0.4799570561433745,0.4796416969552827,1646,0.7849744280876183,0.9389924108982086,0.4405859759331996,0.44887374842575944,-0.05941268801689148
PocketXMolAR,31437,0.8043142626871914,0.9441323280334472,0.47915678696401626,0.4752365967965289,1735,0.8362041834156735,0.963601052761078,0.4423797759337665,0.4447456430117659,-0.019468724727630837
