generator,n_targets,mean_balanced_accuracy,mean_shuffled,mean_delta,std_delta,min_delta,max_delta
DiffSBDD,7,0.4345112222656043,0.3007206449767838,0.1337905772888204,0.10027601019441104,0.0539256261226688,0.3418350145233042
PocketXMol,7,0.5618843581965162,0.2939316571934977,0.26795270100301843,0.09946652892999741,0.1058286153774817,0.4459854412122128
PocketXMolAR,7,0.536584008963328,0.2954647555015319,0.2411192534617961,0.06543071808840555,0.1442276275108167,0.3591274698999717
